epoch ,time      ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,train/sem_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,val/sem_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   29 , 5591.74  ,       0.94965 ,       2.98636 ,       1.60872 ,       1.34435 ,             0 ,             0.48963 ,          0.34412 ,         0.3636  ,            0.27606 ,             0.47095 ,          0.33418 ,         0.33419 ,            0.17447 ,     0.91351 ,     2.77122 ,     2.09363 ,     1.20767 ,           0 ,0.007228   ,0.007228   ,0.007228
   30 , 5786.36  ,       0.94841 ,       2.93836 ,       1.62657 ,       1.34277 ,             0 ,             0.38453 ,          0.40468 ,         0.36733 ,            0.2756  ,             0.36314 ,          0.38246 ,         0.33616 ,            0.1748  ,     0.92014 ,     2.84776 ,     1.77425 ,     1.21172 ,           0 ,0.007129   ,0.007129   ,0.007129
   31 , 5983.18  ,       0.93739 ,       2.94763 ,       1.60464 ,       1.32584 ,             0 ,             0.44541 ,          0.38038 ,         0.3578  ,            0.27709 ,             0.4257  ,          0.3647  ,         0.32674 ,            0.17144 ,     0.89614 ,     2.84035 ,     1.97777 ,     1.19476 ,           0 ,0.00703    ,0.00703    ,0.00703
   32 , 6177.1   ,       0.93223 ,       2.87584 ,       1.61576 ,       1.33106 ,             0 ,             0.4643  ,          0.38361 ,         0.37763 ,            0.28252 ,             0.45604 ,          0.38232 ,         0.35565 ,            0.18639 ,     0.90921 ,     2.8844  ,     1.89855 ,     1.20278 ,           0 ,0.006931   ,0.006931   ,0.006931
   33 , 6370.69  ,       0.93305 ,       2.89881 ,       1.54415 ,       1.32937 ,             0 ,             0.4407  ,          0.39266 ,         0.38916 ,            0.29606 ,             0.3925  ,          0.38772 ,         0.35733 ,            0.19202 ,     0.88334 ,     2.81605 ,     2.09654 ,     1.19338 ,           0 ,0.006832   ,0.006832   ,0.006832
   34 , 6564.29  ,       0.92851 ,       2.86091 ,       1.56502 ,       1.32722 ,             0 ,             0.46888 ,          0.43906 ,         0.41598 ,            0.31414 ,             0.45027 ,          0.42035 ,         0.37981 ,            0.20931 ,     0.88263 ,     2.75714 ,     2.1303  ,     1.18968 ,           0 ,0.006733   ,0.006733   ,0.006733
   35 , 6756.75  ,       0.91805 ,       2.81767 ,       1.54901 ,       1.32484 ,             0 ,             0.41951 ,          0.44096 ,         0.41334 ,            0.3064  ,             0.40774 ,          0.40899 ,         0.38209 ,            0.20554 ,     0.88884 ,     2.74276 ,     1.9057  ,     1.20521 ,           0 ,0.006634   ,0.006634   ,0.006634
   36 , 6954.25  ,       0.91189 ,       2.82104 ,       1.52495 ,       1.31236 ,             0 ,             0.41684 ,          0.43438 ,         0.37234 ,            0.26847 ,             0.40189 ,          0.41093 ,         0.34346 ,            0.17443 ,     0.90476 ,     2.76885 ,     2.17421 ,     1.20732 ,           0 ,0.006535   ,0.006535   ,0.006535
   37 , 7147.82  ,       0.91638 ,       2.79997 ,       1.50927 ,       1.31555 ,             0 ,             0.42462 ,          0.40648 ,         0.37478 ,            0.28032 ,             0.40157 ,          0.39103 ,         0.33663 ,            0.17487 ,     0.89297 ,     2.82463 ,     1.85235 ,     1.20218 ,           0 ,0.006436   ,0.006436   ,0.006436
   38 , 7340.51  ,       0.91054 ,       2.75452 ,       1.61237 ,       1.31354 ,             0 ,             0.40389 ,          0.43575 ,         0.39792 ,            0.29949 ,             0.39571 ,          0.4228  ,         0.37142 ,            0.19708 ,     0.87994 ,     2.7427  ,     1.90208 ,     1.18128 ,           0 ,0.006337   ,0.006337   ,0.006337
   39 , 7535.08  ,       0.90489 ,       2.76784 ,       1.53199 ,       1.29763 ,             0 ,             0.41818 ,          0.458   ,         0.40128 ,            0.30121 ,             0.41591 ,          0.42873 ,         0.36628 ,            0.1952  ,     0.85549 ,     2.68483 ,     2.18645 ,     1.17155 ,           0 ,0.006238   ,0.006238   ,0.006238
   40 , 7726.48  ,       0.89078 ,       2.744   ,       1.52917 ,       1.28995 ,             0 ,             0.45896 ,          0.39266 ,         0.3936  ,            0.28473 ,             0.43628 ,          0.37554 ,         0.35814 ,            0.18603 ,     0.87797 ,     2.68849 ,     1.7739  ,     1.17698 ,           0 ,0.006139   ,0.006139   ,0.006139
   41 , 7922.37  ,       0.88834 ,       2.75223 ,       1.48379 ,       1.28529 ,             0 ,             0.50885 ,          0.40436 ,         0.42247 ,            0.31181 ,             0.48809 ,          0.38275 ,         0.38405 ,            0.20664 ,     0.87758 ,     2.73533 ,     1.77202 ,     1.16702 ,           0 ,0.00604    ,0.00604    ,0.00604
   42 , 8121.09  ,       0.89705 ,       2.70495 ,       1.53296 ,       1.29306 ,             0 ,             0.45915 ,          0.43218 ,         0.4216  ,            0.31814 ,             0.43738 ,          0.41302 ,         0.3885  ,            0.22017 ,     0.87273 ,     2.67548 ,     1.92018 ,     1.1767  ,           0 ,0.005941   ,0.005941   ,0.005941
   43 , 8315.88  ,       0.89591 ,       2.69591 ,       1.50565 ,       1.30576 ,             0 ,             0.51745 ,          0.43569 ,         0.4466  ,            0.34492 ,             0.50546 ,          0.41809 ,         0.41418 ,            0.22896 ,     0.86979 ,     2.60214 ,     1.79208 ,     1.17237 ,           0 ,0.005842   ,0.005842   ,0.005842
   44 , 8510.76  ,       0.89259 ,       2.63188 ,       1.43869 ,       1.28753 ,             0 ,             0.43554 ,          0.49146 ,         0.41273 ,            0.31473 ,             0.415   ,          0.47669 ,         0.38244 ,            0.20864 ,     0.85682 ,     2.64115 ,     1.95214 ,     1.16278 ,           0 ,0.005743   ,0.005743   ,0.005743
   45 , 8704.81  ,       0.88501 ,       2.65772 ,       1.39721 ,       1.28206 ,             0 ,             0.50208 ,          0.45116 ,         0.4551  ,            0.34592 ,             0.48748 ,          0.43638 ,         0.4272  ,            0.23643 ,     0.87175 ,     2.62904 ,     1.8793  ,     1.1712  ,           0 ,0.005644   ,0.005644   ,0.005644
   46 , 8904.38  ,       0.87217 ,       2.61995 ,       1.40133 ,       1.27511 ,             0 ,             0.54989 ,          0.37755 ,         0.43925 ,            0.33343 ,             0.5364  ,          0.36711 ,         0.40629 ,            0.23179 ,     0.84824 ,     2.63026 ,     1.98858 ,     1.16396 ,           0 ,0.005545   ,0.005545   ,0.005545
   47 , 9118.43  ,       0.87144 ,       2.66946 ,       1.40748 ,       1.26978 ,             0 ,             0.51676 ,          0.45415 ,         0.47379 ,            0.36348 ,             0.53572 ,          0.40987 ,         0.43594 ,            0.24336 ,     0.84453 ,     2.65464 ,     1.89523 ,     1.14517 ,           0 ,0.005446   ,0.005446   ,0.005446
   48 , 9353.4   ,       0.86603 ,       2.58642 ,       1.42758 ,       1.26428 ,             0 ,             0.58313 ,          0.37987 ,         0.43306 ,            0.32896 ,             0.5667  ,          0.3677  ,         0.40126 ,            0.22459 ,     0.84698 ,     2.67064 ,     1.75566 ,     1.15928 ,           0 ,0.005347   ,0.005347   ,0.005347
   49 , 9580.98  ,       0.87386 ,       2.57697 ,       1.42707 ,       1.27258 ,             0 ,             0.50454 ,          0.42573 ,         0.43723 ,            0.3284  ,             0.48064 ,          0.40609 ,         0.40183 ,            0.22511 ,     0.86042 ,     2.60409 ,     1.61085 ,     1.15938 ,           0 ,0.005248   ,0.005248   ,0.005248
   50 , 9779.35  ,       0.86652 ,       2.58053 ,       1.36337 ,       1.27531 ,             0 ,             0.49072 ,          0.42443 ,         0.43579 ,            0.33638 ,             0.45076 ,          0.42048 ,         0.40625 ,            0.22774 ,     0.84258 ,     2.56896 ,     1.92234 ,     1.16111 ,           0 ,0.005149   ,0.005149   ,0.005149
   51 , 9975.45  ,       0.86125 ,       2.47935 ,       1.38023 ,       1.25855 ,             0 ,             0.60557 ,          0.43433 ,         0.48839 ,            0.366   ,             0.58738 ,          0.4164  ,         0.45353 ,            0.26718 ,     0.8347  ,     2.55699 ,     1.63266 ,     1.13786 ,           0 ,0.00505    ,0.00505    ,0.00505
   52 ,10166.4   ,       0.86397 ,       2.50794 ,       1.35558 ,       1.26132 ,             0 ,             0.43967 ,          0.49153 ,         0.4578  ,            0.33875 ,             0.43429 ,          0.47229 ,         0.42303 ,            0.23883 ,     0.85154 ,     2.63913 ,     1.79446 ,     1.15988 ,           0 ,0.004951   ,0.004951   ,0.004951
   53 ,10357     ,       0.8499  ,       2.53529 ,       1.34927 ,       1.25438 ,             0 ,             0.51243 ,          0.47486 ,         0.4907  ,            0.37537 ,             0.49767 ,          0.46143 ,         0.46    ,            0.26676 ,     0.82795 ,     2.54879 ,     1.84268 ,     1.13752 ,           0 ,0.004852   ,0.004852   ,0.004852
   54 ,10560.6   ,       0.85175 ,       2.49357 ,       1.32012 ,       1.26479 ,             0 ,             0.49888 ,          0.47932 ,         0.46663 ,            0.3558  ,             0.48381 ,          0.46029 ,         0.4331  ,            0.25453 ,     0.84579 ,     2.54853 ,     1.64364 ,     1.16006 ,           0 ,0.004753   ,0.004753   ,0.004753
   55 ,10781.8   ,       0.84624 ,       2.46845 ,       1.34732 ,       1.24451 ,             0 ,             0.51193 ,          0.47551 ,         0.47559 ,            0.36533 ,             0.48676 ,          0.45452 ,         0.4382  ,            0.255   ,     0.83037 ,     2.58668 ,     1.59979 ,     1.142   ,           0 ,0.004654   ,0.004654   ,0.004654
   56 ,11008.7   ,       0.84936 ,       2.42873 ,       1.28039 ,       1.24358 ,             0 ,             0.58356 ,          0.4501  ,         0.50217 ,            0.37672 ,             0.56517 ,          0.43241 ,         0.46013 ,            0.25358 ,     0.84286 ,     2.5939  ,     1.61854 ,     1.14949 ,           0 ,0.004555   ,0.004555   ,0.004555
   57 ,11221.7   ,       0.84282 ,       2.39192 ,       1.22835 ,       1.25054 ,             0 ,             0.51851 ,          0.44019 ,         0.46518 ,            0.36004 ,             0.49321 ,          0.42297 ,         0.42521 ,            0.24381 ,     0.82508 ,     2.58753 ,     1.75678 ,     1.13405 ,           0 ,0.004456   ,0.004456   ,0.004456
   58 ,11430.9   ,       0.84039 ,       2.39537 ,       1.27426 ,       1.23991 ,             0 ,             0.52974 ,          0.45707 ,         0.4746  ,            0.35762 ,             0.50311 ,          0.43632 ,         0.42938 ,            0.24233 ,     0.83667 ,     2.62624 ,     1.63824 ,     1.13562 ,           0 ,0.004357   ,0.004357   ,0.004357
   59 ,11644.3   ,       0.83689 ,       2.42435 ,       1.24374 ,       1.23946 ,             0 ,             0.59266 ,          0.43868 ,         0.49203 ,            0.37027 ,             0.58157 ,          0.43046 ,         0.46323 ,            0.26166 ,     0.85929 ,     2.54002 ,     1.84575 ,     1.15819 ,           0 ,0.004258   ,0.004258   ,0.004258
   60 ,11864.9   ,       0.83857 ,       2.34964 ,       1.23678 ,       1.2288  ,             0 ,             0.46689 ,          0.45701 ,         0.46371 ,            0.34563 ,             0.45132 ,          0.43872 ,         0.42649 ,            0.23575 ,     0.84608 ,     2.59049 ,     1.73636 ,     1.14924 ,           0 ,0.004159   ,0.004159   ,0.004159
   61 ,12074.8   ,       0.8396  ,       2.34292 ,       1.2283  ,       1.22425 ,             0 ,             0.47229 ,          0.441   ,         0.45616 ,            0.34519 ,             0.46731 ,          0.41926 ,         0.4301  ,            0.24532 ,     0.83446 ,     2.58293 ,     1.6436  ,     1.13118 ,           0 ,0.00406    ,0.00406    ,0.00406
   62 ,12292     ,       0.82383 ,       2.30947 ,       1.26579 ,       1.22081 ,             0 ,             0.47302 ,          0.50533 ,         0.48389 ,            0.3739  ,             0.46061 ,          0.49113 ,         0.4453  ,            0.26214 ,     0.81422 ,     2.59638 ,     1.63549 ,     1.13103 ,           0 ,0.003961   ,0.003961   ,0.003961
   63 ,12508.3   ,       0.82868 ,       2.30585 ,       1.24106 ,       1.22394 ,             0 ,             0.57859 ,          0.43895 ,         0.49093 ,            0.37263 ,             0.55931 ,          0.42114 ,         0.45695 ,            0.2745  ,     0.82449 ,     2.53391 ,     1.75777 ,     1.1264  ,           0 ,0.003862   ,0.003862   ,0.003862
   64 ,12727.5   ,       0.81752 ,       2.28596 ,       1.20057 ,       1.21495 ,             0 ,             0.51881 ,          0.44532 ,         0.45018 ,            0.34198 ,             0.50866 ,          0.42726 ,         0.41733 ,            0.23471 ,     0.8373  ,     2.55405 ,     1.62174 ,     1.14312 ,           0 ,0.003763   ,0.003763   ,0.003763
   65 ,12935     ,       0.81633 ,       2.27908 ,       1.20941 ,       1.22177 ,             0 ,             0.63518 ,          0.43196 ,         0.50381 ,            0.38564 ,             0.61307 ,          0.4101  ,         0.47147 ,            0.27129 ,     0.83843 ,     2.52654 ,     1.54795 ,     1.14825 ,           0 ,0.003664   ,0.003664   ,0.003664
   66 ,13132.9   ,       0.82157 ,       2.27406 ,       1.21105 ,       1.21048 ,             0 ,             0.5788  ,          0.45632 ,         0.49905 ,            0.37817 ,             0.56139 ,          0.44157 ,         0.46517 ,            0.26856 ,     0.82538 ,     2.55602 ,     1.64191 ,     1.1376  ,           0 ,0.003565   ,0.003565   ,0.003565
   67 ,13353.4   ,       0.80976 ,       2.21958 ,       1.15088 ,       1.21863 ,             0 ,             0.59272 ,          0.43626 ,         0.48732 ,            0.36523 ,             0.57895 ,          0.42364 ,         0.45166 ,            0.2487  ,     0.82247 ,     2.60733 ,     1.80704 ,     1.13383 ,           0 ,0.003466   ,0.003466   ,0.003466
   68 ,13572.3   ,       0.81106 ,       2.26629 ,       1.22972 ,       1.21313 ,             0 ,             0.49688 ,          0.49077 ,         0.46727 ,            0.34657 ,             0.47627 ,          0.47227 ,         0.4256  ,            0.2427  ,     0.81461 ,     2.53046 ,     1.59433 ,     1.11803 ,           0 ,0.003367   ,0.003367   ,0.003367
   69 ,13790     ,       0.81291 ,       2.24047 ,       1.15488 ,       1.22257 ,             0 ,             0.52335 ,          0.465   ,         0.49993 ,            0.38582 ,             0.49702 ,          0.44618 ,         0.45885 ,            0.28038 ,     0.81894 ,     2.59498 ,     1.72679 ,     1.13554 ,           0 ,0.003268   ,0.003268   ,0.003268
   70 ,14009.6   ,       0.79068 ,       2.16227 ,       1.17019 ,       1.20274 ,             0 ,             0.56894 ,          0.45326 ,         0.50612 ,            0.37845 ,             0.5447  ,          0.43361 ,         0.46718 ,            0.27186 ,     0.80143 ,     2.55194 ,     1.63063 ,     1.11839 ,           0 ,0.003169   ,0.003169   ,0.003169
   71 ,14225     ,       0.79953 ,       2.18287 ,       1.1264  ,       1.20286 ,             0 ,             0.61684 ,          0.44792 ,         0.51163 ,            0.38764 ,             0.61941 ,          0.43206 ,         0.47721 ,            0.287   ,     0.81261 ,     2.54925 ,     1.51157 ,     1.11565 ,           0 ,0.00307    ,0.00307    ,0.00307
   72 ,14429.2   ,       0.78772 ,       2.14605 ,       1.18392 ,       1.18943 ,             0 ,             0.59397 ,          0.45772 ,         0.50455 ,            0.3786  ,             0.57372 ,          0.44072 ,         0.4713  ,            0.27366 ,     0.82221 ,     2.55936 ,     1.48162 ,     1.13107 ,           0 ,0.002971   ,0.002971   ,0.002971
